date,fr_gb,gb_fr,fr_cwe,cwe_fr,fr_ch,ch_fr,fr_it,it_fr,fr_es,es_fr,export_france,import_france
2010-09-15,25.0,-384.0,591.0,-2055.0,3017.0,-1898.0,2403.0,0.0,200.0,-568.0,6236.0,-4905.0
2010-09-16,25.0,-1308.0,489.0,-1385.0,2926.0,-2153.0,2404.0,0.0,36.0,-320.0,5880.0,-5166.0
2010-09-17,1087.0,-578.0,2435.0,-1180.0,2942.0,-574.0,2254.0,0.0,754.0,-34.0,9472.0,-2366.0
2010-09-18,1725.0,-92.0,1498.0,-1446.0,2949.0,-537.0,2254.0,0.0,1214.0,-69.0,9640.0,-2144.0
2010-09-19,1725.0,-35.0,830.0,-1946.0,2924.0,-1244.0,2254.0,0.0,904.0,-34.0,8637.0,-3259.0
2010-09-20,305.0,-606.0,1553.0,-1473.0,2831.0,-1593.0,2384.0,0.0,19.0,-454.0,7092.0,-4126.0
2010-09-21,241.0,-468.0,2577.0,-455.0,2788.0,-176.0,2254.0,0.0,1204.0,-34.0,9064.0,-1133.0
2010-09-22,440.0,-534.875,3283.0,-1443.0,2758.0,-266.0,2254.0,0.0,1204.0,-34.0,9939.0,-2277.875
2010-09-23,100.0,-1503.0,2034.0,-1350.0,2705.0,-1469.0,2404.0,0.0,2.0,-502.0,7245.0,-4824.0
2010-09-24,0.0,-815.0,2137.0,-556.0,2709.0,-645.0,2404.0,0.0,2.0,-515.0,7252.0,-2531.0
2010-09-25,1929.0,0.0,1293.0,-1907.0,2674.0,-216.0,2254.0,0.0,302.0,-176.0,8452.0,-2299.0
2010-09-26,1975.0,-17.0,2642.0,-2001.0,2699.0,-1306.0,2254.0,0.0,1202.0,-511.0,10772.0,-3835.0
2010-09-27,1453.0,-153.0,2196.0,-725.0,2674.0,-621.0,2254.0,0.0,513.0,-428.0,9090.0,-1927.0
2010-09-28,455.0,-434.0,1389.0,-1269.0,2674.0,-557.0,2253.0,0.0,742.0,-424.0,7513.0,-2684.0
2010-09-29,502.0,-452.0,2537.0,-717.0,2816.0,-439.0,2207.0,-63.0,352.0,-389.0,8414.0,-2060.0
2010-09-30,359.0,-759.083,1619.0,-350.0,2674.0,-100.0,2138.0,-20.0,3.0,-545.0,6793.0,-1774.083
2010-10-01,13.333,-1500.0,1960.0,-1516.0,2801.0,-46.0,2541.0,0.0,2.0,-413.0,7317.3330000000005,-3475.0
2010-10-02,1735.0,-784.208,1298.0,-2464.0,2807.0,-392.0,2526.0,0.0,912.0,-27.0,9278.0,-3667.208
2010-10-03,2002.292,0.0,1002.0,-2701.0,2770.0,-208.0,2541.0,0.0,51.0,-568.0,8366.292,-3477.0
2010-10-04,558.0,-1697.792,1457.0,-2650.0,2760.0,-96.0,2656.0,0.0,1.0,-614.0,7432.0,-5057.7919999999995
2010-10-05,0.0,-2000.0,1430.0,-1719.0,2759.0,-89.0,2656.0,0.0,1.0,-614.0,6846.0,-4422.0
2010-10-06,799.625,-535.0,2159.0,-2480.0,2927.0,-372.0,2601.0,-60.0,202.0,-484.0,8688.625,-3931.0
2010-10-07,500.0,-526.0,2261.0,-2687.0,2803.0,-858.0,2216.0,-140.0,432.0,-216.0,8212.0,-4427.0
2010-10-08,505.0,-505.0,3440.0,-458.0,2785.0,-178.0,2406.0,-60.0,3.0,-586.0,9139.0,-1787.0
2010-10-09,955.0,-249.0,2457.0,-1594.0,2828.0,-9.0,2581.0,-60.0,832.0,-36.0,9653.0,-1948.0
2010-10-10,1127.0,-299.0,1832.0,-1618.0,2775.0,-6.0,2591.0,-60.0,902.0,-6.0,9227.0,-1989.0
2010-10-11,527.0,-20.0,4113.0,-789.0,2775.0,-75.0,2062.0,-60.0,438.0,-276.0,9915.0,-1220.0
2010-10-12,211.0,-876.0,678.0,-2615.0,2775.0,-138.0,2356.0,-115.0,992.0,-196.0,7012.0,-3940.0
2010-10-13,0.0,-340.0,2338.0,-1260.0,2775.0,-209.0,2256.0,-85.0,2.0,-606.0,7371.0,-2500.0
2010-10-14,0.0,-1000.0,520.0,-4017.0,2978.0,-1643.0,2657.0,-848.0,13.0,-600.0,6168.0,-8108.0
2010-10-15,248.0,-894.0,2011.0,-2031.0,2729.0,-306.0,2501.0,-135.0,3.0,-727.0,7492.0,-4093.0
